Translation Key,Translated Value,Category
st_prt_o_retardant_9,Polymer Sheets (Mismuth-sulfate Coating),item_drop_locations
st_adrenalin,Epinephrine Shot,disassemble
st_wpn_mp7,MP7,weapon_drops
st_barrel_7,7.62mm Barrel [A|V] (Barrel),item_drop_locations
cs_scientific_outfit_good_name,CS-4a Pathfinder,item_drop_locations
st_wpn_benelli_m1014,M1014,weapon_drops
merc_wolven_outfit_name,Mercenary STS-W Body Armor,outfit_exchange
trenchcoat_dolg_brown_outfit_name,Heavy Duty Overcoat,outfit_exchange
st_marijuana,Marijuana,medicine
st_antirad,Anti-radiation Drugs,item_drop_locations
st_wpn_ak74u_n1,AKS-74U,weapons
st_drink_crow,Tea "The Beak",eatable
st_rank_sniper,Sniper squad,weapon_drops
st_wpn_kiparis,OTs-02 Kiparis,weapon_drops
ui_inv_recoil,%c[pda_white]Recoil Control:,weapons
st_device_torch_nv_1_name,Headlamp w/ 1PN93-1 Night Vision,disassemble
st_chili,Chili Beans,disassemble
st_glucose,Large Glucose Shot,disassemble
st_af_ice_name,Snowflake,artefact_recipes
novice_outfit_camo_name,Firearm Enthusiast's Jacket,item_drop_locations
st_flask,Flask (Clean Water),eatable
stalker_drought_outfit_name,"Drought" Stalker Suit,outfit_exchange
st_af_blood_name,Stone Blood,artefact_recipes
mutant_psevdodog_meat,Pseudodog Meat,mutant_parts
svoboda_light_proto_exo_outfit_name,Wind of Freedom Exoskeleton,item_drop_locations
ui_inv_outfit_strike_protection,%c[0,255,255,255]Impact Res:,belt_attachments
st_wpn_ak12_mono_kit,AK-12 "Monolith's Light",weapons
BR6,BR6,session
st_wpn_scar_siber_m2,FN SCAR-H "Expert Operator",weapons
helm_spartan,Cz-M10 Spartan Helmet,outfits
st_wpn_desert_eagle_nimble,Desert Eagle "Steppe Eagle",weapons
ammo-7.62x54-ap,7.62x54 mm AP rounds,ammo
st_af_kislushka_name,Sourpuss,artefacts
st_data_export_blast_power,st_data_export_blast_power,session
st_bolt_10,Rotating Locking Head [8 Locks] [¿] (Bolt),item_drop_locations
st_bolt_2,Rotating Locking Head [2 Locks] [P] (Bolt),item_drop_locations
mutant_burer_hand,Burer Hand,mutant_parts
st_data_export_disassemble_amount,Amount,disassemble
ui_ammo_types,Ammo:,weapons
st_af_ah_e1,Souvenir,artefacts
st_data_export_stash_chance,Chance %,item_drop_locations
st_recipe_drug_4,Drug Recipe #4,disassemble
st_wpn_pl15,Lebedev PL-15,weapons
st_prt_w_p_trigger_2,Double-action Trigger Mechanism (Trigger),item_drop_locations
st_wpn_ks23_vorkuta,KS-23M "Vorkuta",weapons
st_wpn_ksg,KSG-23,weapon_drops
st_bolt_carrier_5,Half-free Sliding Bolt Carrier (Carrier),item_drop_locations
st_wpn_mp153_m1,MP-153 "Carabineer",weapons
st_data_export_used_in_crafting,Used in crafting,artefacts
ui_inv_outfit_explosion_protection,%c[0,255,255,255]Explosive Res:,belt_attachments
gamma_wound_cap,Rupture Cap,artefacts
st_af_mincer_meat_name,Meat Chunk,artefact_recipes
st_heavy_sewing_thread,Field Armor Toolkit,item_drop_locations
st_wpn_ak12_m1,AK-12,weapon_drops
st_data_export_light_attack_power,Light Attack Power,melee
scientific_outfit_name,SEVA Bodysuit,outfit_exchange
st_af_baloon_descr,A compound of several hollow organic formations, this artefact emits a gaseous substance that can neutralise chemical or toxic particles inside the body without harming it. Thus providing a a great level of toxic and chemical protection. \nIt also has a constant temperature regardless of its surroundings. This allows it to absorb heat from its vicinity and to create a little pocket around the user which prevents the flames from damaging the body. \nApart from that Bubble, however, possesses numerous negative properties. For example, it greatly amplifies the effects of psy-waves as well as fields produced by mutants and anomalies. This disadvantage is not to be taken lightly: some stalkers have reported that psy influence was so potent when in possession of a Bubble that they felt their heads cracking from the inside and the only thing they could do was scream in pain and run as far as they could. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_af_night_star_descr,This glowing artefact can generate a local directed low-gravity field. Widely used by stalkers along with Gravi, a similar artefact, to increase maximum load. \nDue to its beautiful inner core it is highly sought after by jewellers all over the world, however it is best to proceed with caution as unskilled treatment can cause the artefact to explode with power sufficient to level a small building. It is thus highly advised to perform the polishing by means of specialised machinery, which minimises the probability of explosion. Moreover, only the outer core of the artefact emits radiation. \nNightstar will also absorb toxic and chemical agents from the environment, which makes it a valuable artefact for artefact hunters, although the amount of toxicity absorbed is negligible. It is, however, relatively cheap and even stalkers with pretty tight budgets can afford it if opportunity to buy it arises. \nThat being said, Nightstar emits odour of burning flesh when in the closest proximity of heat source. Prolonged exposure may enhance its flammability and cause it to ignite. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_gas_tube_11,Gas Tube [PP] (Gas Tube),item_drop_locations
st_trigger_components_1,Single-mode Hammer Type Trigger (Trigger),item_drop_locations
st_af_cocoon_name,Cocoon,artefacts
st_data_export_heavy_attack_power,Heavy Attack Power,melee
dolg_pantsir_outfit_name,PSZ-7p Shell Armor,outfit_exchange
ui_inv_outfit_chemical_burn_protection,%c[0,255,255,255]Chemical Res:,belt_attachments
st_wpn_toz34_mark4_23,TOZ-34 "Chimera Hunter",weapon_drops
st_kolbasa,Doctor's Sausage,item_drop_locations
st_af_cooler_name,Body Cooler,disassemble
st_af_spaika_name,Spike,artefact_recipes
st_af_ah_o1_descr,An artefact created in fire anomalies consisting of mostly iron, bismuth, cadmium and nickel. If broken, the interior resembles an infinite fractal.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Artefact\n,artefacts
mutant_pseudogigant_hand,Pseudogiant Hand,mutant_parts
st_wpn_sig226_226sig_kit,SIG P226R Custom,weapons
st_af_lighthouse_descr,The Beacon, or Lighthouse, is a yo-yo-shaped fibrous mass containing a very dense, continuously orbiting ball. If its user kills another being, they will be instantly teleported to the exact place where the victim's life ended.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_toz34_bull,TOZ-34 "Bull",weapons
mutant_flesh_meat,Flesh Meat,mutant_parts
st_af_eye_descr,This artefact, which resembles the human eye, considerably increases metabolism of the body, helping wounds heal quicker. Experienced stalkers say that Eye also brings luck. Irrespective of the validity of that statement, its positive effects are indeed quite potent. \nThis artefact soothes the pain and is extremely useful when treating wounds. \nWhen worn, it is known to slightly counter harmful effects of psy-anomalies or psy-waves of certain mutants. \nThese beneficial qualities, however, come at a price. This artefact is extremely dangerous when exposed to chemical anomalies as it amplifies their toxicity and increases their potency. It is hence highly recommended to keep the artefact in your backpack, never on the body, when exploring toxic areas unless you have a death wish. \nThe artefact is also known colloquially as "copper eye" as it conducts electricity and amplifies its dangerous effects in the same way as copper does. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_svu,OTs-03 SVU,weapon_drops
st_sewing_thread,Sewing Thread,item_drop_locations
st_af_compass_name,Compass,artefact_recipes
st_data_export_first_aid_leg,First-Aid leg,medicine
st_wpn_k98_mod_silen98,Karabiner 98k Forester mk.2,weapons
st_gas_tube_2,Handguard [R] (Gas Tube),item_drop_locations
st_wpn_m4_butcher,M4A1 "Butcher",weapons
st_duct_tape,Duct Tape,disassemble
st_af_camelbak_name,Camelbak,disassemble
bandit_exolight_outfit_name,Looted Exosuit,outfit_exchange
st_wpn_pm_bas,Makarov PM,weapons
st_wpn_type63,Type 63,weapons
st_af_ball_name,Ball,artefacts
st_hide_controller_name,Controller Scalp,mutant_parts
banditmerc_outfit_name,Fenced LC Suit,outfit_exchange
st_data_export_stash_item,Item,stash_drop_rates
st_af_tlf_lost_soul_descr,Although this artifact resembles a common Soul artifact, it possesses extraordinary properties. It provides greater telepathic protection and has no negative effects.,artefacts
st_wpn_fal_sa58_osw,SA-58 OSW,weapon_drops
st_axe,Hunting Axe,melee
st_wpn_rapide,Kimber Rapide .45 ACP,weapon_drops
st_prt_w_p_spring_2,9mm Recoil Spring Assembly [Russian] (Spring),item_drop_locations
st_af_dummy_glassbeads_name,Mama's Beads,artefact_recipes
st_af_vyvert_descr,This bizarrely-shaped artefact appears in places with increased gravitational activity. \nAlthough it appears almost organic, it is actually more similar to coral. Due to its gravitational nature, It provides protection against physical impacts as it greatly reduces the friction caused by fast objects. \nActing as a kind of sponge that absorbs chemical and toxic elements as well, this artefact provides protection from external toxic agents as well as from chemical particles that have already made their way into the body. \nWrenced can generate a locally directed gravity field which increases its mass. For this reason, this artefact is heavy. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_af_dummy_battery_descr,\nThe artefact is quite popular in the Zone and is valued by its residents and visitors alike for its energizing properties, although it has an adverse effect on the body when used for prolonged periods of time. \nOne should take note, however, that this artefact hinders blood clotting and increases bleeding rate of open wounds. On the other hand, being a powerful resistor, it is well known for its ability to shield its user from lethal doses of electricity. \nBeing an artefact of electric nature, it is well known for its ability to shield its user from lethal doses of electricity. On the contrary, it should be noted that Battery absorbs heat and is able to convey it to other objects. \nThis artefact is also extremely light and very portable. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_af_grid_name,Titanium Grid,disassemble
st_detonation_time,Time of Action,explosives
st_detonation_radius,Blast Radius,explosives
dolg_heavy_outfit_name,PSZ-9d Body Armor,outfit_exchange
st_af_sponge_descr,Sponge has always been under debate among the Ecologists. Some suggest that this artefact is driven from basic form of organisms, while others believe its an advanced life form with self-awareness inherited from living creatures. \nDespite the theories surrounding the artefact, all can agree on one thing: it moves. The sponge sometimes tries to "grab" an object it touches. Putting it in a container might be a hard task, as if it wants to escape. \nThis artefact acts as a powerful resistor and will absorb even lethal doses of electricity. On the other hand, it will catch fire when exposed to open flame or even spontaneously combust. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_data_export_stash_type_rare,Rare,item_drop_locations
st_wpn_grach,MP-443 Grach,weapon_drops
army_nosorog_outfit_name,Military Stalker Nosorog,outfit_exchange
st_wpn_toz34,TOZ-34,weapon_drops
stalker_bear_outfit_name,"Bear" Stalker Suit,outfit_exchange
st_af_electra_flash_descr,This artefact is very similar in appearance to Moonlight and resembles a plasma globe or a plasma lamp. \nBeing a powerful resistor, it is well known for its ability to shield its user from lethal doses of electricity. \nWhen worn, it is known to slightly counter harmful effects of psy-anomalies or psy-waves of certain mutants. Flash acts as a powerful resistor and will absorb even lethal doses of electricity. \nHowever, it also hinders healing process, thus caution is advised especially when wounded or bleeding. This artefact is also extremely light and very portable. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_sr1mp_new,Serdyukov SR-1MP Gyurza 9x21 pistol,weapon_drops
trenchcoat_brown_outfit_name,Heavy Brown Overcoat,outfit_exchange
ammo-9x19-ap,9x19 mm AP rounds,item_drop_locations
st_sharpening_stones,Sharpening Stone Set,item_drop_locations
l05_bar,Rostok,item_drop_locations
st_prt_o_ballistic_10,Grade-A Polyethylene Plates w/ Expanded Carrier,item_drop_locations
st_af_camelbak_up_name,Improved Camelbak,disassemble
ammo-7.62x51_ap,7.62x51 mm NATO AP rounds,ammo
st_barrel_4,7.62mm Barrel [V] (Barrel),item_drop_locations
st_wpn_hk417,HK417,weapons
st_data_export_used_in_cooking,Used in cooking,eatable
st_wpn_raptr,RAPTR,weapon_drops
st_drug_antidot,Antidote,medicine
st_wpn_tt33_custom,““-33 7.62x25 ““,weapon_drops
st_helm_resp,Respirator,outfits
st_knife_6x4,6h4 Bayonet,melee
ui_inv_satiety,%c[0,255,255,255]Satiety:,belt_attachments
merc_outfit_name,Mercenary LC Suit,outfit_exchange
st_wpn_ppsh41,PPSh-41,weapon_drops
greh_exo_outfit_name,Vyraj Power Armor,outfit_exchange
st_prt_w_p_barrel_3,.45 Barrel (Barrel),item_drop_locations
st_salicidic_acid,Metamizole Ampoule,disassemble
st_monolith_prayer_1_of_3_name,Monolith Prayer (Part 1 of 3),disassemble
ammo-338-lapua,.338 Lapua Magnum rounds,ammo
mutant_boar_chop,Boar Chop,mutant_parts
st_wpn_scar_siber_black,FN SCAR-H "Black",weapons
isg_lcs_urban_outfit_name,UNISG LC-UC Suit,outfit_exchange
st_wpn_ak74_isg,RD 5.45 Custom "ISG",weapon_drops
st_wpn_mk23,HK MK23,weapons
st_prt_o_support_1,Exoskeleton Frame,disassemble
ui_inv_wrange,%c[pda_white]Max Range:,ammo
st_af_lighthouse_name,Beacon,artefacts
st_chocolate,Chocolate,eatable
st_wpn_rpk74_16,RPK-16 LMG,weapon_drops
st_antirad_kalium,Potassium Iodide,medicine
st_bolt_11,Supercharger with Hammer from a Double-barrel Shotgun [R] (Bolt),item_drop_locations
ammo-7.62x39_ap,7.62x39 mm M43 rounds,item_drop_locations
st_bolt_7,Rotating Locking Head [4 Locks] [AS] (Bolt),item_drop_locations
st_wpn_am17,AM-17,weapons
st_wpn_dvl10,DVL-10 M2 Urbana,weapon_drops
st_wpn_sig220_n_u2p2g0r,SIG P220 "Stalker",weapons
st_rebirth,Axyltallisal "The Rebirth",disassemble
specops_dolg_outfit_name,PS5-B Battle Armor,item_drop_locations
st_wpn_m82,Barrett M82,weapons
st_bolt_5,Rotating Locking Head [3 Locks] [V] (Bolt),item_drop_locations
st_af_sun_name,Sun,artefact_recipes
st_helm_hardhat,Surplus Steel Helmet,outfits
specops_outfit_name,Berill-5M Armored Suit,outfit_exchange
st_wpn_ak74u_isg,RD Quickhatch 5.45 "ISG",weapons
st_wpn_ump45_custom,UMP45,weapon_drops
#2,#2,session
st_tea,Beard's Tea,eatable
exo_outfit_name,Exoskeleton,outfit_exchange
st_cigar3,Camel Yellow cigarettes,eatable
st_wpn_ks23_kaban,KS-23M Drozd,weapon_drops
st_welding_goggles,Welding Goggles,item_drop_locations
st_data_export_description,st_data_export_description,session
st_af_black_descr,Truly, an amazing thing. The Black Stone protects against broadly considered adversity but instead is slowly killing the owner. Some stalkers suspect the artefact is a shard of the Monolith.,artefacts
st_prt_w_p_trigger_3,Double-action (DA/SA) Trigger Mechanism (Trigger),item_drop_locations
st_prt_o_ballistic_6,Kevlar AP Plates w/ Reinforced Titanium Composite,item_drop_locations
bandit_novice_alt_outfit_name,Armored Leather Jacket,item_drop_locations
st_ied_rpg,IED (OG-7V Warhead),disassemble
st_wpn_l85_m1,L85A2,weapons
dolg_specops_red_outfit_name,PS5-B2 Veteran Battlesuit,item_drop_locations
st_af_ice_descr,Also colloquially known as "Radioactive Snowflake". At first glance, this artefact resembles a white Kolobok. \nThanks to its unique properties, the artefact can significantly increase the bearer's muscle tone, thus greatly improving stamina recovery. Due to its high radioactivity, stalkers in possession of it are sometimes jokingly referred to as "Radioactive Snowflakes". \nWhen faced with the decision whether to carry it on the belt during a mission, you have to carefully weigh its pros and cons: does it pay to have greater endurance and high protection against electricity at the cost of being constantly exposed to its deadly radiation? Even if you are determined to take it with you, it should be noted that it is not to be used on long excursions to the Zone. \nSnowflake, however, holds a big downside: it interacts with surrounding energy sources by absorbing and amplifying their effects. For this reason, approaching heat sources, toxic areas and psy-fields while holding this artefact is a suicide. \nIt is as light as a snowflake and very easy to carry around. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_mk47,CMMG Mk47 Mutant,weapon_drops
st_drug_anabiotic,Anabiotics,item_drop_locations
st_af_medusa_name,Jellyfish,artefact_recipes
st_wpn_pkm_zenit_siber,PKM "Zenit",weapons
ghillie_outfit_name,Ghillie Suit,outfit_exchange
st_wpn_ak103,AK-103,weapon_drops
st_gas_tube_10,Ejector from Over-under Double-barrel Shotgun [R] (Gas Tube),item_drop_locations
st_ground_coffee,Ground Coffee,eatable
military_monolit_outfit_name,Monolith Skat-9 Armored Suit,outfit_exchange
st_wpn_pp2000_oper,PP-2000 "Operator",weapons
st_data_export_jump_height,Jump height,belt_attachments
st_af_serofim_descr,An electrical artefact that generates a magnetic field. It is made up of several translucent, blue layers surrounding a bright center. If its bearer were to be suddenly killed, this artefact would take their place and allow the user to go on living.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_groza_guns_nimble,OTs-14 Groza "Storm",weapon_drops
ui_inv_outfit_artefact_count,%c[0,255,255,255]Belt Slots:,outfits
st_af_kislushka_descr,A hollow spherical formation resembling a transparent parchment covered with a layer of film. Pleasant to the touch. This artefact will drastically speed up the process of blood clotting, though this will also lead to the user needing more food to replenish the energy that it takes.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_equ_milpack_name,Combat Backpack,disassemble
st_data_export_stash_map,Map,item_drop_locations
st_itm_mapkit_5,Anomaly Map (Truck Cemetery),disassemble
st_data_export_post_heal_head,Post-Heal Head,medicine
st_compression_bag,Sleeping Bag (Empty),disassemble
st_wpn_pl15_upgr,Upgraded Lebedev PL-15 9x19 pistol,weapons
st_wpn_guns_groza,OC-14 Groza,weapon_drops
st_detector2,Bear Detector,disassemble
st_bolt_carrier_10,Sliding Bolt Carrier with Turning Bolt Lock [NATO] (Carrier),item_drop_locations
l06_rostok,Wild Territory,item_drop_locations
st_ui_number_of_uses,Uses,medicine
st_af_repei_descr,A relatively common sight within gravitational anomalies, this artefact resembles the Thorn, an artefact not discovered in many years. While the Thorn caused bleeding to its user, the Thistle causes it to their enemies, impeding clotting and thinning blood.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_walther_p99_mod9,Walther P99 Custom,weapons
st_data_export_pelts_quality_max,Maximum pelts quality,melee
renegademerc_outfit_name,Renegade LC Suit,outfit_exchange
light_isg_outfit_name,UNISG IBAz Suit,outfit_exchange
st_barrel_1,18.5mm Barrel [R] (Barrel),item_drop_locations
exo_dolg_wood_outfit_name,PSZ-10l Forest Battlesuit,outfit_exchange
st_gamma_recipe_advanced_1,Survival Guide Vol. 2,disassemble
st_wpn_svt40,SVT-40,weapons
svoboda_heavy_outfit_name,Guardian of Freedom,outfit_exchange
st_wpn_remington870,Remington 870,weapon_drops
ui_mcm_menu_exo,Powered Exos,outfits
renegade,Renegade,weapon_drops
st_grenade_rgd5,RGD-5 Grenade,weapon_drops
st_gas_tube_9,Ejector from Over-under Double-barrel Shotgun [R] (Gas Tube),item_drop_locations
dolg_scientific_wood_outfit_name,PS5-9Md Light Pathfinder,outfit_exchange
st_knife_combat,M9 Bayonet,melee
st_data_export_can_be_cooked,Can be cooked,eatable
st_af_soul_descr,Soul is a unique organic artefact with properties just as unique: it secretes slimy goo that dramatically increases recovery rate of wounds. Thanks to its reasonable price and attractive appearance, this artefact is a valuable collector's item. \nApplying its gooey substance to wounds will soothes the pain and speeds up healing process. \It also reduces the effects of psy-waves and their damage to one's brain. But it should be known that Soul drains power from its user. The artefact does not have high density and thus is not very heavy. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_mk14,Mk 14 EBR,weapons
st_af_vaselisk_name,Basilisk,artefacts
st_wpn_sv98_custom,SV98,weapons
st_af_chelust_name,Chain,artefacts
st_swiss,Swiss Knife,disassemble
st_wpn_akms,AKMS,weapons
st_wpn_bm16_full,TOZ-66,weapon_drops
st_af_ah_f1_descr,A never-before-seen artifact with remarkable properties. It seems to be of organic origin and is very symmetrical; an unusual property for artifacts found in the Zone. It increases the structural and tensile strength of any material it comes in proximity with. Eerily, it seems to release barely audible and unintelligible whispers.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Artefact\n,artefacts
ammo_23x75_shrapnel,"Shrapnel-25" 23x75mm,item_drop_locations
isg_exolight_outfit_name,UNISG Exosuit,outfit_exchange
st_af_aam_name,Artefact Application Module (Empty),disassemble
st_wpn_fn2000e_nimble,FN F2000 "Competitor",weapon_drops
st_af_cristall_descr,This artefact is formed in anomalous zones with intense thermal activity. Actively consumes excessive heat and remains cool at all times. \nIt will also protect the user against electrical currents. On the other hand, exposure to such environments makes the artefact increase the conductivity due to unknown as of now mechanism. For this reason, one is forced to weigh pros and cons of Crystal when in the vicinity of areas of high conductivity. \nThis artefact is also highly sought for by jewellers outside the Zone as its inner core is not radioactive and considered to be of exceptional beauty if polished and refined. Only the first 1 cm of its outer layer emits radiation. \nIt is, however, highly advised to proceed with caution when planning to bring the artefact to the market as prolonged exposure to even minimal amounts of radioactive materials can result in death of the user. Covered with very hard layer. Relatively heavy due to high density. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_bm16_full_alt,TOZ-66,weapons
nbc_dolg_outfit_name,PS5-Mt Suit,outfit_exchange
st_upgr_w_external,Weapon Body Upgrade Kit,item_drop_locations
light_monolit_outfit_name,Monolith IBAz Assault Suit,item_drop_locations
st_gas_tube_1,Gas Tube [K] (Gas Tube),item_drop_locations
st_hand_watch,Wrist Watch,disassemble
greh_ps5_outfit_name,Volos Flak Armor,outfit_exchange
nomad_outfit_name,"Nomad" Stalker Suit,item_drop_locations
mutant_dog_tail,Dog Tail,mutant_parts
st_wpn_saiga12s_isg,KS-12,weapon_drops
st_wpn_sig220_n_upg220,SIG P220 "XXX",weapon_drops
st_wpn_aug_a3_bas,Steyr AUG A3,weapons
l01_escape,Cordon,item_drop_locations
st_wpn_fal_aus,SA-58 AUS,weapon_drops
ammo-og-7b,OG-7V warhead,ammo
st_helm_exo_name,ExoHelmet,outfits
st_wpn_g3sg1,G3SG1,weapons
helm_ach7ex,ACH-7EX Headgear Set,outfits
st_bolt_16,Drummer with Mainspring [PP] [NATO] (Bolt),item_drop_locations
st_wpn_m4_tac,M4A1 "Protector",weapon_drops
nbc_freedom_outfit_name,Keeper of Freedom,outfit_exchange
st_wpn_rpg7,RPG-7,weapon_drops
st_prt_o_retardant_16,Active Charcoal-treated Non-woven Fabrics,item_drop_locations
st_wpn_sks_tac,SKS Tactical,weapons
st_wpn_car15_bd,CAR-15 "Blood Diamond",weapons
st_prt_o_fabrics_4,Mil-Spec Textiles,disassemble
ecolog_exo_outfit_name,Scientific Exoskeleton,outfit_exchange
st_af_vaselisk_descr,If you found this. something has gone horribly wrong.\n \n %c[pda_white]PROPERTIES:\n,artefacts
st_cooking,Field Cooking Kit,disassemble
st_memoirs_2_of_2_name,A Stalker's Journal (Part 2 of 2),disassemble
