~, Faction, Name, Weight, Cost, Repair, Powered Exos, BR Class, Ballistic Res, Rupture Res, Burn Res, Electrical Res, Chemical Res, Radiation Res, Psychic Res, Impact Res, Explosive Res, Belt Slots, Maximum belt slots, Weight Carried, Movespeed
dolg_specops_red_outfit,Duty,PS5-B2 Veteran Battlesuit,21,109450,H,N,42,38%,49%,8%,41%,16%,7%,5%,32%,21%,2,4,28,104%
exolight_outfit,Free Stalkers,Exosuit,31,109647,H,N,50,38%,36%,35%,3%,16%,13%,26%,7%,36%,3,4,60,93%
cs_heavy_outfit,Clear Sky,CS-3b Body Armor,24,74933,H,N,36,31%,26%,48%,37%,13%,23%,41%,21%,21%,2,3,28,103%
dolg_heavy_redline_outfit,Duty,PSZ-9kl Command Armor,25,102898,H,N,52,40%,27%,8%,6%,9%,4%,21%,8%,51%,3,4,42,102%
stalker_proto_exo_outfit,Free Stalkers,"Sunrise" Exoskeleton,36,224759,H,Y,27,23%,27%,21%,13%,35%,19%,15%,18%,11%,5,7,115.19999694824,108%
greh_exo_outfit,Sin,Vyraj Power Armor,70,183961,E,Y,56,42%,24%,41%,3%,11%,11%,31%,6%,39%,5,7,76.800003051758,101%
light_freedom_outfit,Freedom,Defender of Freedom,20,97944,H,N,37,30%,40%,6%,36%,27%,16%,7%,41%,16%,2,4,20,106%
svoboda_exo_outfit,Freedom,Paragon of Freedom,70,160395,E,Y,65,45%,27%,41%,3%,14%,11%,37%,6%,39%,3,5,96,102%
svoboda_light_proto_exo_outfit,Freedom,Wind of Freedom Exoskeleton,40,200732,H,Y,33,25%,19%,21%,13%,46%,16%,18%,16%,11%,4,7,96,107%
merc_exolight_outfit,Mercenary,Mercenary Exosuit,35,77213,H,N,61,46%,30%,35%,4%,16%,9%,26%,6%,43%,2,3,37.5,93%
monolith_trenchcoat_outfit,Monolith,Monolith Overcoat,21,115159,H,N,32,33%,28%,25%,26%,35%,19%,8%,26%,6%,3,5,27.89999961853,105%
isg_exo_outfit,UNISG,UNISG Exoskeleton,84,144300,E,Y,71,45%,30%,41%,3%,11%,11%,31%,4%,39%,3,5,86.400001525879,100%
exo_wood_outfit,Unknown,Woodland Exosuit,35,78678,H,N,55,42%,34%,35%,3%,16%,11%,26%,6%,36%,2,3,50,93%
military_exolight_outfit,Military,Military Stalker Exosuit,42,53636,H,N,61,50%,40%,29%,3%,13%,11%,21%,6%,43%,1,2,45,92%
exo_dolg_urban_outfit,Duty,PSZ-10g Urban Battlesuit,40,98417,H,N,60,47%,45%,47%,3%,16%,17%,25%,4%,41%,2,3,75,93%
merc_nighthunter_outfit,Mercenary,Mercenary STS-N Body Armor,23,73194,H,N,53,41%,24%,35%,33%,6%,9%,21%,11%,19%,2,3,20.25,103%
renegade_exo_outfit,Renegade,Renegade Exoskeleton,70,102279,E,Y,65,49%,36%,41%,3%,11%,11%,31%,6%,39%,1,3,96,103%
monolith_proto_exo_outfit,Monolith,X-18 Exoskeleton,40,190695,H,Y,30,28%,25%,21%,13%,35%,13%,19%,16%,11%,4,7,86.400001525879,107%
ecolog_proto_exo_outfit,Ecologist,SSP-99M Exoskeleton,32,206010,H,Y,24,20%,27%,24%,15%,42%,19%,18%,18%,9%,5,7,96,108%
isg_nosorog_outfit,UNISG,UNISG Nosorog,102,123927,E,Y,76,46%,32%,45%,3%,11%,11%,36%,4%,41%,2,4,103.5,101%
light_dolg_outfit,Duty,IBAz Universal Protection Suit,18,109080,H,N,34,30%,60%,8%,36%,21%,16%,5%,32%,16%,2,4,20,108%
dolg_nosorog_outfit,Duty,PSZ-10d Nosorog,76,189919,E,Y,63,46%,42%,59%,3%,11%,11%,29%,4%,41%,3,5,115,105%
dolg_heavy_outfit,Duty,PSZ-9d Body Armor,25,77173,H,N,52,40%,27%,8%,6%,9%,4%,21%,8%,51%,2,3,42,102%
ecolog_exo_outfit,Ecologist,Scientific Exoskeleton,56,192198,E,Y,47,35%,36%,48%,3%,13%,13%,37%,7%,31%,4,6,96,103%
military_exo_outfit,Military,Military Stalker Exoskeleton,84,123260,E,Y,65,54%,40%,32%,3%,9%,11%,25%,6%,47%,2,4,86.400001525879,101%
military_proto_exo_outfit,Military,Skat-9 Exoskeleton,60,132330,E,Y,61,50%,30%,4%,3%,7%,4%,25%,9%,73%,2,4,86.400001525879,106%
isg_exolight_outfit,UNISG,UNISG Exosuit,42,74250,H,N,66,42%,30%,35%,3%,16%,11%,26%,4%,36%,2,3,45,90%
bandit_exo_outfit,Bandit,Stolen Exoskeleton,49,155905,E,Y,47,45%,34%,41%,3%,11%,10%,31%,6%,39%,2,4,124.80000305176,106%
dolg_exo_outfit,Duty,PSZ-10d Exoskeleton,63,174200,E,Y,59,45%,40%,52%,3%,11%,11%,25%,4%,39%,3,5,96,104%
light_merc_outfit,Mercenary,Mercenary IBAz Suit,20,101650,H,N,37,33%,46%,6%,46%,21%,13%,6%,41%,19%,2,4,15,107%
military_monolit_outfit,Monolith,Monolith Skat-9 Armored Suit,28,74310,H,N,52,44%,23%,6%,6%,9%,3%,34%,11%,51%,2,3,37.799999237061,100%
military_freedom_outfit,Freedom,Liberated Skat-9 Armored Suit,28,74850,H,N,57,40%,18%,6%,6%,11%,4%,31%,11%,51%,2,3,42,100%
military_merc_outfit,Mercenary,Mercenary Skat-9 Armored Suit,28,74159,H,N,57,44%,20%,6%,8%,9%,3%,26%,11%,61%,2,3,31.5,101%
exo_merc_urban_outfit,Mercenary,Mercenary Urban Exosuit,45,87872,H,N,66,52%,34%,35%,4%,16%,13%,31%,6%,49%,2,3,56.25,92%
cs_scientific_outfit_good,Clear Sky,CS-4a Pathfinder,28,129360,H,N,46,33%,24%,42%,54%,19%,35%,11%,41%,26%,3,5,28,98%
monolith_nosorog_outfit,Monolith,Monolith Nosorog,85,170079,E,Y,63,51%,35%,45%,3%,11%,9%,47%,6%,41%,3,5,103.5,103%
cs_stalker_proto_exo_outfit,Clear Sky,CS-2b Exoskeleton,40,172368,H,Y,30,23%,23%,24%,15%,42%,19%,15%,16%,11%,4,6,96,108%
military_bandit_outfit,Bandit,Looted Skat-9 Armored Suit,19,81432,H,N,42,40%,23%,6%,6%,9%,4%,26%,11%,51%,2,3,54.599998474121,104%
merc_exo_outfit,Mercenary,Mercenary Exoskeleton,70,119274,E,Y,65,49%,30%,41%,4%,11%,9%,31%,6%,47%,2,4,72,103%
cs_exolight_outfit,Clear Sky,CS-5 Exosuit,35,103230,H,N,55,38%,30%,42%,3%,19%,13%,26%,6%,36%,3,4,50,93%
dolg_proto_exo_outfit,Duty,PS5-M Exoskeleton,36,151238,H,Y,30,25%,29%,26%,13%,35%,16%,12%,13%,11%,4,5,96,109%
merc_ace_outfit,Mercenary,Mercenary ACE Scientific Suit,26,130560,H,N,46,38%,24%,45%,59%,31%,27%,11%,26%,13%,4,6,21,97%
monolith_exo_outfit,Monolith,Monolith Exoskeleton,70,156366,E,Y,59,49%,34%,41%,3%,11%,9%,40%,6%,39%,3,5,86.400001525879,102%
exo_outfit,Free Stalkers,Exoskeleton,63,176027,E,Y,53,40%,36%,41%,3%,11%,13%,31%,7%,39%,3,5,115.19999694824,103%
light_monolit_outfit,Monolith,Monolith IBAz Assault Suit,20,101336,H,N,34,33%,51%,6%,36%,21%,13%,8%,41%,16%,2,4,18,106%
exo_merc_grass_outfit,Mercenary,Mercenary Grassland Exosuit,28,88368,H,N,56,41%,30%,21%,4%,21%,4%,21%,6%,35%,3,4,18.75,96%
cs_exo_outfit,Clear Sky,CS-5 Exoskeleton,70,158105,E,Y,59,40%,30%,48%,3%,13%,13%,31%,6%,39%,3,5,96,103%
svoboda_exolight_outfit,Freedom,Warrior of Freedom,35,78798,H,N,61,42%,27%,35%,3%,21%,11%,31%,6%,36%,2,3,50,92%
light_voen_outfit,Military,Military Stalker IBAz Suit,24,78908,H,N,37,35%,60%,4%,29%,17%,16%,5%,36%,19%,1,3,18,105%
army_nosorog_outfit,Military,Military Stalker Nosorog,102,130866,E,Y,69,56%,42%,37%,3%,9%,11%,29%,6%,49%,2,4,103.5,102%
merc_nosorog_outfit,Mercenary,Mercenary Nosorog,85,160095,E,Y,69,51%,32%,45%,4%,11%,9%,36%,6%,49%,3,5,86.25,104%
military_outfit,Military,Skat-9 Armored Suit,33,50549,H,N,57,47%,27%,4%,5%,7%,4%,21%,9%,61%,1,2,37.799999237061,99%
exo_merc_wood_outfit,Mercenary,Mercenary Woodland Exosuit,32,104810,H,N,58,44%,35%,25%,4%,16%,7%,26%,16%,43%,3,4,37.5,94%
dolg_exolight_outfit,Duty,PSZ-10d Duty Battlesuit,31,84671,H,N,55,42%,40%,47%,3%,16%,11%,21%,4%,36%,2,3,50,94%
