~, Name, Weight, Cost, Repair, Single-handed, Accuracy, Handling, Damage, Fire Rate, Mag. Size, Max Range, Muzzle Velocity, Reliability, Recoil Control, Ammo, Alt. ammo, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_k98_mod_silen98,Karabiner 98k Forester mk.2,4.2,32590,B,N,97%,66%,69,40,7,1500,1522,60%,25,"7.92x57  FMJ "; "7.92x57  AP ",,,,27,,39,,
wpn_m82,Barrett M82,12.07,50000,D,N,93%,69%,240,100,10,1800,477,75%,25,"12.7x55 STs-130 "; "12.7x55  STs-130 VPS ",,,,,38,,50,75
wpn_svu,OTs-03 SVU,3.81,43860,C,N,93%,68%,62,130,10,1050,845,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_svt40,SVT-40,3.8,24850,D,N,93%,65%,43,150,10,1000,871,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 "; "7.62x54  PP "; "7.62x39  FMJ "; "7.62x39  M43 ",,,,30,45,,80
wpn_dvl10,DVL-10 M2 Urbana,6,95580,D,N,95%,65%,59,40,10,1200,1207,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_svd_nimble,SVD,3.91,40550,C,N,93%,65%,62,100,10,1100,861,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_remington700_archangel,Remington 700 "Archangel",3.85,33000,C,N,97%,64%,59,40,20,1200,887,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_l96a1m,AWSM,7.2,76580,D,N,97%,66%,116,40,5,1200,944,40%,25,".338 Lapua Magnum ",,,,,,,,140
wpn_sr25,SR-25,4.31,50780,D,N,84%,80%,59,700,20,1000,882,80%,62,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_remington700_magpul_pro,Remington 700 "Magpul PRO",3.75,33000,C,N,97%,64%,59,40,12,1200,887,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_mosin,Mosin Nagant,3.7,21590,B,N,91%,66%,66,34,5,1100,798,60%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_remington700_lapua700,Remington 700 "Deer Hunter",3.95,33000,D,N,98%,64%,606,40,5,1200,887,60%,25,".338 Federal",,,,,,,,
wpn_sks_molot,SKS Molot,3.6,19580,B,N,86%,65%,45,350,20,900,617,87%,26,"7.62x39  FMJ "; "7.62x39  M43 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,30,,,55
wpn_remington700,Remington 700,3.96,33000,C,N,96%,64%,59,40,5,1200,887,60%,25,"7.62x51  NATO ball "; "7.62x51  NATO AP ",,,,,34,,,62
wpn_gauss,Gauss Rifle,12.768,85860,D,N,99%,50%,166,50,10,1000,10500,91%,216,"Batteries",,,,,,,,500
wpn_svds_pmc,SVDS "Retribution",4.8,140850,D,N,93%,65%,62,550,10,1100,861,78%,26,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ","5.56x45  FMJ "; "5.56x45  HP "; "5.56x45  AP ",,,,30,45,,80
wpn_m98b,Barrett M98B,7.5,88980,D,N,95%,65%,116,35,10,1500,992,40%,25,".338 Lapua Magnum ",,,,,,,,140
wpn_sks_b,SKS,3.75,19580,B,N,86%,65%,45,350,10,900,588,87%,25,"7.62x39  FMJ "; "7.62x39  M43 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,30,,,55
pri_a17_gauss_rifle,Unidentified Weapon,12.768,85860,D,N,99%,50%,916,50,10,2000,70000,99%,216,"Batteries",,,,,,,,500
wpn_sks,SKS,3.75,19580,B,N,86%,65%,45,200,10,900,617,87%,27,"7.62x39  FMJ "; "7.62x39  M43 ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,30,,,55
wpn_svu_alt,OTs-03 SVU,3.81,48850,D,N,95%,68%,62,75,10,1050,845,80%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_k98,Karabiner 98k,3.7,22590,B,N,91%,66%,69,34,5,1100,798,60%,25,"7.92x57  FMJ "; "7.92x57  AP ","7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 "; "7.62x54  PP "; "7.62x51  NATO ball "; "7.62x51  NATO AP ",,,27,,39,,
wpn_svd,SVD,3.91,40550,C,N,93%,65%,62,100,10,1100,861,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
wpn_trg,Remington 700 "Deer Hunter",3.95,33000,D,N,98%,64%,606,35,5,1200,887,40%,25,".338 Federal",,,,,,,,
wpn_svd_m1,SVD,3.91,40550,C,N,93%,65%,62,100,10,1100,861,78%,25,"7.62x54  7N1 "; "7.62x54  AP "; "7.62x54  7N14 ",,,,,30,45,,80
