~, Name, Weight, Cost, Repair, Single-handed, Accuracy, Handling, Damage, Fire Rate, Mag. Size, Max Range, Muzzle Velocity, Reliability, Recoil Control, Ammo, Alt. ammo, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_bm16_full_alt,TOZ-66,3.4,18250,B,N,73%,57%,189,1000,2,250,299,62%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_toz34_custom,TOZ-34,3.2,16680,B,N,71%,55%,198,1200,2,250,369,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ","12x76 slug "; "12x76 AP slugs",,,24,,42,,
wpn_bm16_alt,TOZ-66 (Sawn-off),1.92,12850,B,N,43%,67%,189,1000,2,250,299,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_spas12_nimble,SPAS-12,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_spas12,SPAS-12,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_saiga12s_m2,Saiga-12 Tactical,3.96,58680,C,N,69%,77%,198,250,8,250,324,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_wincheaster1300_trapper,TOZ-194,2.9,19580,B,N,62%,63%,198,94,7,250,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_mp133,MP-133,3.3,19960,B,N,69%,59%,198,84,6,250,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ks23_kaban,KS-23M Drozd,3.5,38950,C,N,63%,53%,282,100,4,200,154,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_ithacam37_sawnoff,Ithaca M37 (Sawn-off),2.76,14510,B,N,55%,50%,198,76,4,300,329,60%,0,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_remington870,Remington 870,3.3,19960,B,N,69%,59%,198,86,6,250,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_ks23_23_up,KS-23 Shortie,3.53,32960,C,N,63%,53%,282,100,4,200,154,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_ks23_kaban_kab_up,KS-23M Drozd "Boar",3.6,38950,C,N,63%,53%,282,100,4,200,154,40%,25,""Shrapnel-25" 23x75"; ""Barrikada" 23x75",,,,,,40,54,500
wpn_protecta,Armsel Protecta,4.2,28550,B,N,64%,63%,189,155,12,250,319,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_mossberg590,Mossberg 590A1,3.2,19960,B,N,72%,59%,198,90,9,250,339,60%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_protecta_aim,Armsel Protecta,4.2,33780,B,N,64%,63%,189,150,12,250,319,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
wpn_saiga12s_m1,Saiga-12,3.81,48680,C,N,69%,77%,198,250,6,250,324,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs",,,,24,,42,,
wpn_mp155,MP-155,3.5,30580,C,N,66%,59%,198,330,8,300,369,68%,25,"12x70 buckshot "; "12x76 slug "; "12x76 AP slugs"; "Home-made 12x70 shot ",,,,24,,42,,
